case_name,mass_eV,A_unit,phi_amp_max,Rtau_max_unit,L_peak,nphi,Lcut,spectrum_ratio_at_peak,phi_needed_target_1,ratio_phi_needed_over_phi_amp_max,phi_needed_target_0.1,phi_needed_target_10
nphi_1_no_cut,1e-26,-2632126036.501822,12881.91649163101,7.285557594898971e+18,330,1.0,,1.0515972300164098,3.7048327075340715e-10,2.87599497321768e-14,1.1715709705696124e-10,1.1715709705696124e-09
nphi_2_Lcut_800,1e-35,-195.4023529707972,113801412.91373985,56349.54980622341,366,2.0,800.0,1.475811440221917,0.004212644146661353,3.701750302392545e-11,0.0013321550475226284,0.013321550475226283
nphi_2_Lcut_800,1.7012542798525996e-35,-565.5464092138668,66892654.86632268,472027.5762023953,366,2.0,800.0,1.475811440221917,0.0014555137563874063,2.175894736568737e-11,0.0004602738635891656,0.004602738635891656
nphi_2_Lcut_800,2.89426612471674e-35,-1636.841689175934,39319612.510433145,3954068.8570459746,366,2.0,800.0,1.475811440221917,0.0005028956581016113,1.2789944406704721e-11,0.00015902957050104008,0.0015902957050104008
nphi_2_Lcut_800,4.923882631706751e-35,-4737.453435648046,23112135.628399014,33122322.48629164,366,2.0,800.0,1.475811440221917,0.00017375591964497749,7.517951713275474e-12,5.4946446301532446e-05,0.0005494644630153244
nphi_2_Lcut_800,8.376776400682855e-35,-13711.444315491368,13585357.612748396,277458018.9630926,366,2.0,800.0,1.475811440221917,6.0034563795461504e-05,4.41906392947106e-12,1.8984595992834132e-05,0.0001898459599283413
nphi_2_Lcut_800,1.4251026703029962e-34,-39684.51261272217,7985507.19316363,2324197203.6183524,366,2.0,800.0,1.475811440221917,2.0742615299813296e-05,2.597532604763163e-12,6.559390897606642e-06,6.559390897606642e-05
nphi_2_Lcut_800,2.4244620170823406e-34,-114857.09003181722,4693914.639152138,19469127559.641983,366,2.0,800.0,1.475811440221917,7.166824253150207e-06,1.5268331028799348e-12,2.2663488230089828e-06,2.2663488230089827e-05
nphi_2_Lcut_800,4.124626382901331e-34,-332423.1709979325,2759125.7454037378,163084786144.37222,366,2.0,800.0,1.475811440221917,2.476243085026718e-06,8.974738063865857e-13,7.830568188926419e-07,7.830568188926418e-06
nphi_2_Lcut_800,7.017038286703837e-34,-962089.1741456378,1621878.3933418072,1366034060747.9873,366,2.0,800.0,1.475811440221917,8.555969660684252e-07,5.275345978963973e-13,2.7056351719060243e-07,2.705635171906024e-06
nphi_2_Lcut_800,1.1937766417144455e-33,-2784274.4947711197,953444.5477824039,11440762516074.012,366,2.0,800.0,1.475811440221917,2.956463452264437e-07,3.1008237019560407e-13,9.349158328200113e-08,9.349158328200112e-07
nphi_2_Lcut_800,2.0309176209047304e-33,-8056189.936164844,560609.5050004976,95783403776714.95,366,2.0,800.0,1.475811440221917,1.0217740458067587e-07,1.822612775368216e-13,3.231133238794575e-08,3.2311332387945755e-07
nphi_2_Lcut_800,3.4551072945922324e-33,-23297989.099123534,329822.1530024331,801064983439679.5,366,2.0,800.0,1.475811440221917,3.5331829497561735e-08,1.0712388229817023e-13,1.1172905511301764e-08,1.1172905511301763e-07
nphi_2_Lcut_800,5.878016072274876e-33,-67273536.76029076,194372.8866046758,6679122261991139.0,366,2.0,800.0,1.475811440221917,1.2236023526150743e-08,6.295128780505746e-14,3.869370384604122e-09,3.8693703846041214e-08
nphi_2_Lcut_800,1e-32,-193396254.40762478,115113.44526174817,5.519846362530325e+16,366,2.0,800.0,1.475811440221917,4.256341887321634e-09,3.6975193276888245e-14,1.3459734864316122e-09,1.3459734864316121e-08
nphi_2_Lcut_800,1.7012542798525856e-32,-548858730.8604189,69154.1753405218,4.445821550466965e+17,366,2.0,800.0,1.475811440221917,1.4997676673483103e-09,2.1687304634366763e-14,4.742681789898403e-10,4.7426817898984035e-09
nphi_2_Lcut_800,2.89426612471674e-32,-1499842672.2617881,43317.355803863546,3.3198792188008714e+18,366,2.0,800.0,1.475811440221917,5.488312832471585e-10,1.2670008892791359e-14,1.7355569062140336e-10,1.7355569062140335e-09
nphi_2_Lcut_800,4.9238826317067517e-32,-3654765863.9638386,30736.448436477724,1.9712876104030335e+19,366,2.0,800.0,1.475811440221917,2.252293605460985e-10,7.327761403910233e-15,7.122377752689366e-11,7.122377752689366e-10
nphi_2_Lcut_800,8.376776400682924e-32,-6040875794.899543,31808.593801022034,5.385557726780687e+19,366,2.0,800.0,1.475811440221917,1.3626510566254297e-10,4.2839085095979524e-15,4.309080994971434e-11,4.3090809949714344e-10
nphi_2_Lcut_800,1.4251026703029963e-31,456820772.20893806,36698.473199911256,3.079800320138575e+17,366,2.0,800.0,1.475811440221917,1.8019333370195175e-09,4.9101043719275897e-14,5.698213536769479e-10,5.6982135367694796e-09
nphi_2_Lcut_800,2.4244620170823406e-31,-324525738.507442,36442.30682590944,1.5542796697015523e+17,366,2.0,800.0,1.475811440221917,2.5365032131878438e-09,6.960325605360586e-14,8.021127446009231e-10,8.02112744600923e-09
nphi_2_Lcut_800,4.124626382901364e-31,4211369702.025738,37683.23269184577,2.6174452688943305e+19,366,2.0,800.0,1.475811440221917,1.9546148562790173e-10,5.186961724496567e-15,6.181034894244364e-11,6.181034894244364e-10
nphi_2_Lcut_800,7.0170382867038365e-31,-4840490436.70322,36888.20371329882,3.457877513653878e+19,366,2.0,800.0,1.475811440221917,1.7005726780175725e-10,4.610071802993453e-15,5.3776829891876844e-11,5.377682989187684e-10
nphi_2_Lcut_800,1.1937766417144357e-30,4675447428.029609,36435.795875070624,3.2260955690080166e+19,366,2.0,800.0,1.475811440221917,1.760602789695343e-10,4.832068978902002e-15,5.567514870283711e-11,5.567514870283711e-10
nphi_2_Lcut_800,2.0309176209047306e-30,-4015721579.3411074,35463.48688785832,2.379896451019652e+19,366,2.0,800.0,1.475811440221917,2.049844747008948e-10,5.780155666843792e-15,6.4821782502799e-11,6.4821782502799e-10
nphi_2_Lcut_800,3.4551072945922325e-30,-3750917803.223794,35540.83846494142,2.076375840502091e+19,366,2.0,800.0,1.475811440221917,2.194557763379417e-10,6.1747495505605374e-15,6.939800989083814e-11,6.939800989083815e-10
nphi_2_Lcut_800,5.878016072274924e-30,5947875631.44551,34913.456244120105,5.221011268045751e+19,366,2.0,800.0,1.475811440221917,1.3839572807043246e-10,3.963965271806631e-15,4.376457191398665e-11,4.3764571913986647e-10
nphi_2_Lcut_800,1e-29,5847092972.245209,34305.71125297062,5.0455773854431674e+19,366,2.0,800.0,1.475811440221917,1.4078116807679243e-10,4.103723926277781e-15,4.451891427816505e-11,4.451891427816505e-10
nphi_2_Lcut_800,1.7012542798525858e-29,3012473655.0639086,33438.01004611117,1.339298516362332e+19,366,2.0,800.0,1.475811440221917,2.732507144427862e-10,8.171859332118514e-15,8.64094629907472e-11,8.64094629907472e-10
nphi_2_Lcut_800,2.89426612471674e-29,-1429564348.450455,32443.80484039574,3.016048287120806e+18,366,2.0,800.0,1.475811440221917,5.758121901812475e-10,1.774798587939675e-14,1.8208780254627853e-10,1.8208780254627852e-09
nphi_2_Lcut_800,4.923882631706752e-29,-1683875599.3636212,31174.218698666704,4.184570413001195e+18,366,2.0,800.0,1.475811440221917,4.888488073568959e-10,1.5681188743883534e-14,1.5458756627046677e-10,1.5458756627046675e-09
nphi_2_Lcut_800,8.376776400682924e-29,-6996192547.614638,29692.46757277054,7.223611482022245e+19,366,2.0,800.0,1.475811440221917,1.1765836530141558e-10,3.962566095696072e-15,3.72068420124597e-11,3.7206842012459696e-10
nphi_2_Lcut_800,1.4251026703029963e-28,-905708374.6202744,27996.455704832708,1.2106194289190712e+18,366,2.0,800.0,1.475811440221917,9.08858305336308e-10,3.246333446342003e-14,2.8740623152234987e-10,2.8740623152234984e-09
nphi_2_Lcut_800,2.4244620170823407e-28,-175776521.27101412,26132.756370924297,4.559871489074552e+16,366,2.0,800.0,1.475811440221917,4.682995046972893e-09,1.7920019536030517e-13,1.4808930619721551e-09,1.480893061972155e-08
nphi_2_Lcut_800,4.124626382901365e-28,5601892846.67588,24153.108286591185,4.631273908252081e+19,366,2.0,800.0,1.475811440221917,1.4694329238638359e-10,6.083825346320352e-15,4.646754908250511e-11,4.646754908250511e-10
nphi_2_Lcut_800,7.017038286703837e-28,6999751049.4014,22121.246137622013,7.230961700435891e+19,366,2.0,800.0,1.475811440221917,1.175985506736956e-10,5.3160906913690356e-15,3.718792696636068e-11,3.7187926966360676e-10
nphi_2_Lcut_800,1.1937766417144358e-27,10127134845.424482,20095.009811562377,1.5135753914594276e+20,366,2.0,800.0,1.475811440221917,8.128267185641306e-11,4.044918246799969e-15,2.5703837737033207e-11,2.5703837737033203e-10
nphi_2_Lcut_800,2.0309176209047306e-27,11050048439.7749,18124.866292836112,1.8020184626738397e+20,366,2.0,800.0,1.475811440221917,7.449384344083953e-11,4.110035474870419e-15,2.3557021693304762e-11,2.355702169330476e-10
nphi_2_Lcut_800,3.455107294592232e-27,-4336727160.012378,16250.260646483768,2.7755884549611905e+19,366,2.0,800.0,1.475811440221917,1.8981147490125598e-10,1.1680518794775602e-14,6.002365867238527e-11,6.002365867238527e-10
nphi_2_Lcut_800,5.878016072274924e-27,13935403275.476799,14497.44448872209,2.865958880747687e+20,366,2.0,800.0,1.475811440221917,5.90697349918006e-11,4.0744929244428125e-15,1.8679490335663744e-11,1.8679490335663742e-10
nphi_2_Lcut_800,1e-26,-2632126036.501822,12881.91649163101,1.022455075008118e+19,366,2.0,800.0,1.475811440221917,3.1273600392642703e-10,2.4277133307734305e-14,9.889580787468707e-11,9.889580787468708e-10
nphi_2_no_cut,1e-35,-195.4023529707972,113801412.91373985,45964.19832212563,356,2.0,,1.203816001329086,0.004664339516046121,4.0986657341254946e-11,0.001474993665103324,0.01474993665103324
nphi_2_no_cut,1.7012542798525996e-35,-565.5464092138668,66892654.86632268,385031.80949429615,356,2.0,,1.203816001329086,0.0016115793534203454,2.4092022609072736e-11,0.000509626138690976,0.00509626138690976
nphi_2_no_cut,2.89426612471674e-35,-1636.841689175934,39319612.510433145,3225324.882800204,356,2.0,,1.203816001329086,0.0005568180004927271,1.4161329803160697e-11,0.00017608131237377767,0.0017608131237377767
nphi_2_no_cut,4.923882631706751e-35,-4737.453435648046,23112135.628399014,27017802.358399093,356,2.0,,1.203816001329086,0.00019238667543027915,8.324054450160124e-12,6.0838008582723666e-05,0.0006083800858272366
nphi_2_no_cut,8.376776400682855e-35,-13711.444315491368,13585357.612748396,226321868.64916512,356,2.0,,1.203816001329086,6.647169295362591e-05,4.892892395504509e-12,2.102019496608231e-05,0.0002102019496608231
nphi_2_no_cut,1.4251026703029962e-34,-39684.51261272217,7985507.19316363,1895842319.489927,356,2.0,,1.203816001329086,2.2966715640042794e-05,2.8760497091161017e-12,7.262713179594704e-06,7.262713179594703e-05
nphi_2_no_cut,2.4244620170823406e-34,-114857.09003181722,4693914.639152138,15880922622.940145,356,2.0,,1.203816001329086,7.935277798154237e-06,1.6905458254323064e-12,2.5093551708333274e-06,2.509355170833327e-05
nphi_2_no_cut,4.124626382901331e-34,-332423.1709979325,2759125.7454037378,133027885394.63153,356,2.0,,1.203816001329086,2.7417550760796705e-06,9.937042850065807e-13,8.670190826739997e-07,8.670190826739998e-06
nphi_2_no_cut,7.017038286703837e-34,-962089.1741456378,1621878.3933418072,1114270845089.6006,356,2.0,,1.203816001329086,9.473372541578079e-07,5.840988190278941e-13,2.9957434354684903e-07,2.99574343546849e-06
nphi_2_no_cut,1.1937766417144455e-33,-2784274.4947711197,953444.5477824039,9332203700890.77,356,2.0,,1.203816001329086,3.2734664567079793e-07,3.433305549149832e-13,1.0351609847358184e-07,1.0351609847358184e-06
nphi_2_no_cut,2.0309176209047304e-33,-8056189.936164844,560609.5050004976,78130302412370.39,356,2.0,,1.203816001329086,1.1313324582860633e-07,2.0180400942097105e-13,3.577587359061393e-08,3.577587359061393e-07
nphi_2_no_cut,3.4551072945922324e-33,-23297989.099123534,329822.1530024331,653426866662653.6,356,2.0,,1.203816001329086,3.912023963151263e-08,1.1861010327958185e-13,1.2370905984716606e-08,1.2370905984716605e-07
nphi_2_no_cut,5.878016072274876e-33,-67273536.76029076,194372.8866046758,5448144684804190.0,356,2.0,,1.203816001329086,1.3548015466135906e-08,6.970115895685833e-14,4.284258664817727e-09,4.284258664817727e-08
nphi_2_no_cut,1e-32,-193396254.40762478,115113.44526174817,4.502525996880041e+16,356,2.0,,1.203816001329086,4.712722690942396e-09,4.0939810985819035e-14,1.4902937684135748e-09,1.4902937684135747e-08
nphi_2_no_cut,1.7012542798525856e-32,-548858730.8604189,69154.1753405218,3.62644642509415e+17,356,2.0,,1.203816001329086,1.6605783332648979e-09,2.4012698077708984e-14,5.251209766243228e-10,5.251209766243228e-09
nphi_2_no_cut,2.89426612471674e-32,-1499842672.2617881,43317.355803863546,2.7080178518411807e+18,356,2.0,,1.203816001329086,6.076790141699599e-10,1.4028534357486336e-14,1.9216497710628083e-10,1.921649771062808e-09
nphi_2_no_cut,4.9238826317067517e-32,-3654765863.9638386,30736.448436477724,1.607974775062126e+19,356,2.0,,1.203816001329086,2.493792900597967e-10,8.113471228635373e-15,7.886065578647455e-11,7.886065578647455e-10
nphi_2_no_cut,8.376776400682924e-32,-6040875794.899543,31808.593801022034,4.3929870652074705e+19,356,2.0,,1.203816001329086,1.5087595696961987e-10,4.74324510896084e-15,4.771116681815546e-11,4.771116681815546e-10
nphi_2_no_cut,1.4251026703029963e-31,456820772.20893806,36698.473199911256,2.5121860457483386e+17,356,2.0,,1.203816001329086,1.9951433295883932e-09,5.4365840200491445e-14,6.309197179991335e-10,6.3091971799913336e-09
nphi_2_no_cut,2.4244620170823406e-31,-324525738.507442,36442.30682590944,1.2678223558463974e+17,356,2.0,,1.203816001329086,2.8084765192489684e-09,7.706637597519544e-14,8.881182555928461e-10,8.881182555928461e-09
nphi_2_no_cut,4.124626382901364e-31,4211369702.025738,37683.23269184577,2.1350440926412014e+19,356,2.0,,1.203816001329086,2.1641959290623957e-10,5.743127047406163e-15,6.843788438701364e-11,6.843788438701364e-10
nphi_2_no_cut,7.0170382867038365e-31,-4840490436.70322,36888.20371329882,2.820582743921973e+19,356,2.0,,1.203816001329086,1.882914403836395e-10,5.1043808434553095e-15,5.954298155261095e-11,5.954298155261095e-10
nphi_2_no_cut,1.1937766417144357e-30,4675447428.029609,36435.795875070624,2.631518744159304e+19,356,2.0,,1.203816001329086,1.9493811672997166e-10,5.350181382022407e-15,6.164484516504852e-11,6.164484516504852e-10
nphi_2_no_cut,2.0309176209047306e-30,-4015721579.3411074,35463.48688785832,1.94127606763433e+19,356,2.0,,1.203816001329086,2.269636722772066e-10,6.39992544993968e-15,7.177221505119878e-11,7.177221505119878e-10
nphi_2_no_cut,3.4551072945922325e-30,-3750917803.223794,35540.83846494142,1.6936950029291596e+19,356,2.0,,1.203816001329086,2.429866406847793e-10,6.836829157096808e-15,7.683912255568386e-11,7.683912255568385e-10
nphi_2_no_cut,5.878016072274924e-30,5947875631.44551,34913.456244120105,4.258766896838694e+19,356,2.0,,1.203816001329086,1.5323503263442965e-10,4.388996367560616e-15,4.845717204550295e-11,4.845717204550295e-10
nphi_2_no_cut,1e-29,5847092972.245209,34305.71125297062,4.115665881833334e+19,356,2.0,,1.203816001329086,1.5587624838811256e-10,4.543740464632251e-15,4.9292397802858574e-11,4.929239780285858e-10
nphi_2_no_cut,1.7012542798525858e-29,3012473655.0639086,33438.01004611117,1.0924627229552062e+19,356,2.0,,1.203816001329086,3.025496720802845e-10,9.048076475336514e-15,9.567460691107526e-11,9.567460691107524e-10
nphi_2_no_cut,2.89426612471674e-29,-1429564348.450455,32443.80484039574,2.4601836588766725e+18,356,2.0,,1.203816001329086,6.375529142693007e-10,1.9650990918163963e-14,2.0161193379690558e-10,2.0161193379690555e-09
nphi_2_no_cut,4.923882631706752e-29,-1683875599.3636212,31174.218698666704,3.413344472449422e+18,356,2.0,,1.203816001329086,5.412649941804081e-10,1.7362584108757716e-14,1.7116301993278722e-10,1.7116301993278722e-09
nphi_2_no_cut,8.376776400682924e-29,-6996192547.614638,29692.46757277054,5.892283290699586e+19,356,2.0,,1.203816001329086,1.3027413272106592e-10,4.387447166584893e-15,4.1196297960163724e-11,4.119629796016372e-10
nphi_2_no_cut,1.4251026703029963e-28,-905708374.6202744,27996.455704832708,9.87499486949034e+17,356,2.0,,1.203816001329086,1.0063094722649584e-09,3.5944173893813663e-14,3.18222996335931e-10,3.1822299633593094e-09
nphi_2_no_cut,2.4244620170823407e-28,-175776521.27101412,26132.756370924297,3.719476698003383e+16,356,2.0,,1.203816001329086,5.185123188806542e-09,1.9841470663139037e-13,1.6396799225183955e-09,1.6396799225183954e-08
nphi_2_no_cut,4.124626382901365e-28,5601892846.67588,24153.108286591185,3.777719487289927e+19,356,2.0,,1.203816001329086,1.6269909857895852e-10,6.736155721592255e-15,5.144997247657735e-11,5.144997247657734e-10
nphi_2_no_cut,7.017038286703837e-28,6999751049.4014,22121.246137622013,5.89827884697355e+19,356,2.0,,1.203816001329086,1.3020790454655156e-10,5.8861017022501536e-15,4.117535477248967e-11,4.1175354772489674e-10
nphi_2_no_cut,1.1937766417144358e-27,10127134845.424482,20095.009811562377,1.2346199695963944e+20,356,2.0,,1.203816001329086,8.999810216824254e-11,4.478629421542205e-15,2.8459898794418477e-11,2.8459898794418474e-10
nphi_2_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,1.4699023201304175e+20,356,2.0,,1.203816001329086,8.248135032688129e-11,4.550728760933382e-15,2.6082893151921857e-11,2.608289315192186e-10
nphi_2_no_cut,3.455107294592232e-27,-4336727160.012378,16250.260646483768,2.264041126205206e+19,356,2.0,,1.203816001329086,2.1016376702090713e-10,1.2932947451915633e-14,6.645961854270466e-11,6.645961854270466e-10
nphi_2_no_cut,5.878016072274924e-27,13935403275.476799,14497.44448872209,2.3377560749064772e+20,356,2.0,,1.203816001329086,6.540341161808949e-11,4.511375206090175e-15,2.068237474586814e-11,2.0682374745868143e-10
