mass_eV,m_res_fid_eV,mass_over_mres,z_rei,delta_y,R_eff_Mpc,phi_unit_at_zrei,dphi_dx_unit_at_zrei,A_unit_thinshell,A_eff_visibility,Aeff_over_Aunit,lambda_osc_Mpc,N_osc_patchy,g_norm_z
5.119814835838772e-30,1.0239629671677533e-29,0.5000000000000006,7.7,19.0,34.139,0.004754080624618899,1.0279366360380042,3896984788.9518523,187972869.86529264,0.048235464094754786,68.27799999999993,13.530132415691316,0.04952111656215679
5.361951987503819e-30,1.0239629671677533e-29,0.523647061410316,7.7,19.0,34.139,0.004402174580211417,-1.0833637348738923,-4107113072.6286693,-146718899.87144378,0.03572312163724762,65.1946750317951,14.17002815993842,0.04952111656215679
5.615540803359103e-30,1.0239629671677533e-29,0.5484124898473133,7.7,19.0,34.139,-0.004989732343815824,-0.7908031091070884,-2997993824.9153123,404646090.037396,-0.1349722893604781,62.2505880737779,14.84018721210622,0.04952111656215679
5.881122879817432e-30,1.0239629671677533e-29,0.5743491774985201,7.7,19.0,34.139,0.0007102998521401045,1.5558272358010898,5898257596.424159,853532182.0968004,0.14470920744700225,59.43945136073251,15.542040848796725,0.04952111656215679
6.159265427618688e-30,1.0239629671677533e-29,0.6015125180410583,7.7,19.0,34.139,0.0019502394412937792,-1.4646443974036019,-5552576625.641706,80681482.7196554,-0.01453045822854018,56.75526107283727,16.277088037582843,0.04952111656215679
6.450562483237351e-30,1.0239629671677533e-29,0.629960524947439,7.7,19.0,34.139,-0.002251316284786952,1.4137633241196517,5359682665.37063,-576871722.9408706,-0.10763169369486898,54.19228451314216,17.046898638394506,0.04952111656215679
6.755636177581676e-30,1.0239629671677533e-29,0.6597539553864469,7.7,19.0,34.139,0.0004936455450139973,-1.5690602581835769,-5948424975.548979,-262263969.5912137,0.04408964905319486,51.7450478640985,17.853116756309436,0.04952111656215679
7.07513806469572e-30,1.0239629671677533e-29,0.6909564399838903,7.7,19.0,34.139,0.003051831411083545,1.183611981983939,4487161686.921365,253125737.337233,0.056411102384612805,49.4083244969769,18.697464252913395,0.04952111656215679
7.409750513300298e-30,1.0239629671677533e-29,0.7236346187201883,7.7,19.0,34.139,-0.003983874732118457,0.6987382567643357,2648969073.195556,95936465.17327945,0.036216528967455065,47.17712380921996,19.58174442372487,0.04952111656215679
7.760188164146554e-30,1.0239629671677533e-29,0.7578582832552012,7.7,19.0,34.139,-0.0027159226783826053,-1.211796518263099,-4594011375.23181,-361631025.8562555,0.07871792129335071,45.04668056587571,20.50784584954272,0.04952111656215679
8.12719945629284e-30,1.0239629671677533e-29,0.7937005259840986,7.7,19.0,34.139,0.0004117878275379485,-1.5787286949658175,-5985078743.643632,-277544785.0041198,0.04637278754250014,43.01244472236114,21.47774642993738,0.04952111656215679
8.511568225566517e-30,1.0239629671677533e-29,0.8312378961427896,7.7,19.0,34.139,0.0013020162002119156,-1.4985959773691602,-5681289608.57091,-186882962.9422719,0.032894461613140864,41.07007170680729,22.493517607505197,0.04952111656215679
8.914115378622565e-30,1.0239629671677533e-29,0.8705505632961225,7.7,19.0,34.139,1.3490891964905698e-06,-1.591625263644226,-6033970601.572872,-134076153.34239814,0.022220219851162112,39.215413141243864,23.557328791902375,0.04952111656215679
9.335700646176413e-30,1.0239629671677533e-29,0.9117224885582184,7.7,19.0,34.139,-0.0028895090923194847,-0.9201948077349964,-3488527447.019776,-110415165.15211162,0.03165093777503127,37.44450798179477,24.671451993112587,0.04952111656215679
9.777224419153242e-30,1.0239629671677533e-29,0.9548416039104142,7.7,19.0,34.139,-0.0019083976999283688,1.3234035881152126,5017122137.418025,342591570.58317447,0.06828447887048715,35.75357405897346,25.838266673837943,0.04952111656215679
1.0239629671677545e-29,1.0239629671677533e-29,1.0000000000000013,7.7,19.0,34.139,0.0032311256332347334,-0.15381687279501366,-583131287.0379579,-427984007.7680096,0.7339410820194093,34.13899999999997,27.060264831382632,0.04952111656215679
1.0723903975007639e-29,1.0239629671677533e-29,1.047294122820632,7.7,19.0,34.139,-0.0030930700628429638,-0.13251945406544308,-502391177.26527107,162743046.8894801,-0.32393691261729507,32.597337515897536,28.340056319876854,0.04952111656215679
1.1231081606718207e-29,1.0239629671677533e-29,1.0968249796946268,7.7,19.0,34.139,0.0026481295501758714,-0.7311364747806046,-2771793144.6141744,-513511264.8425911,0.18526319896576207,31.12529403688895,29.68037442421244,0.04952111656215679
1.1762245759634865e-29,1.0239629671677533e-29,1.1486983549970402,7.7,19.0,34.139,0.0006301350167505243,1.5683020042988527,5945550378.27193,107862969.75166787,0.018141797291946954,29.719725680366246,31.08408169759346,0.04952111656215679
1.2318530855237379e-29,1.0239629671677533e-29,1.2030250360821169,7.7,19.0,34.139,-0.001927010814983074,1.1403136011367403,4323014281.690116,39107365.27867622,0.009046318779078123,28.37763053641863,32.5541760751657,0.04952111656215679
1.2901124966474704e-29,1.0239629671677533e-29,1.2599210498948783,7.7,19.0,34.139,-0.002124466642422342,0.935482764604188,3546485236.7168336,718219879.6162484,0.20251596487150247,27.096142256571074,34.09379727678902,0.04952111656215679
1.3511272355163353e-29,1.0239629671677533e-29,1.3195079107728938,7.7,19.0,34.139,-0.000592152493429851,1.5736485408626995,5965819498.8893175,-45402957.98229463,-0.007610514865685677,25.87252393204925,35.70623351261887,0.04952111656215679
1.4150276129391442e-29,1.0239629671677533e-29,1.381912879967781,7.7,19.0,34.139,0.00234713758667231,0.2713469701807119,1028696690.2922132,-348093317.209092,-0.3383828493802309,24.704162248488448,37.39492850582679,0.04952111656215679
1.4819501026600599e-29,1.0239629671677533e-29,1.4472692374403768,7.7,19.0,34.139,-0.0017402063405606155,-1.0475301958641012,-3971265441.9870605,375452418.99129117,-0.09454226227784712,23.58856190460998,39.16348884744974,0.04952111656215679
1.552037632829311e-29,1.0239629671677533e-29,1.5157165665104027,7.7,19.0,34.139,0.002128975287469503,0.3507178986143261,1329597825.582954,191560446.24895084,0.14407397677937864,22.523340282937856,41.01569169908544,0.04952111656215679
1.625439891258568e-29,1.0239629671677533e-29,1.5874010519681971,7.7,19.0,34.139,-0.0005037250503037233,1.5862192083310531,6013475840.918298,305104024.03967136,0.05073671735132139,21.50622236118057,42.95549285987476,0.04952111656215679
1.7023136451133036e-29,1.0239629671677533e-29,1.6624757922855797,7.7,19.0,34.139,-0.0013267121317155537,1.2263405875155415,4649149031.249876,-98649454.67974405,-0.021218819619818287,20.535035853403638,44.98703521501041,0.04952111656215679
1.7828230757245133e-29,1.0239629671677533e-29,1.7411011265922451,7.7,19.0,34.139,-8.237427983614511e-05,1.6401624430542643,6217978684.589142,550040067.4785041,0.08845962576902086,19.60770657062193,47.11465758380476,0.04952111656215679
1.8671401292352829e-29,1.0239629671677533e-29,1.8234449771164372,7.7,19.0,34.139,0.0017537933833381265,-0.4734902133643909,-1795036867.5549176,124444219.83724843,-0.06932683227100413,18.722253990897382,49.34290398622518,0.04952111656215679
1.9554448838306488e-29,1.0239629671677533e-29,1.9096832078208286,7.7,19.0,34.139,-0.0016568082891883257,0.5390883686238578,2043724388.0374477,-206615733.1070069,-0.10109765011191961,17.87678702948673,51.676533347675885,0.04952111656215679
2.0479259343355093e-29,1.0239629671677533e-29,2.0000000000000027,7.7,19.0,34.139,-0.00023517865817477136,-1.6373419138406424,-6207285847.057206,-625841491.3111577,0.10082369440225812,17.06949999999998,54.12052966276528,0.04952111656215679
