mass_eV,mass_over_mres,g_GeV_inv,Aeff_over_Aunit,A_tau_unit_physical,A_tau_eff_physical,max_frac_unit,L_peak_frac_unit,max_frac_eff,L_peak_frac_eff
5.119814835838772e-30,0.5000000000000006,1.4e-12,0.048235464094754786,0.10641505314000131,0.005132979474875956,0.00328400719509173,289,7.640768168829164e-06,289
5.361951987503819e-30,0.523647061410316,1.4e-12,0.03572312163724762,-0.11134892604388791,-0.003977731229242697,0.0035955889142079366,289,4.588479940950257e-06,289
5.615540803359103e-30,0.5484124898473133,1.4e-12,-0.1349722893604781,-0.08160637817312301,0.011014599688443361,0.0019312841427165837,289,3.518320536195615e-05,289
5.881122879817432e-30,0.5743491774985201,1.4e-12,0.14470920744700225,0.16005598610707783,0.023161574896703636,0.007429195899418001,289,0.00015557296909609293,289
6.159265427618688e-30,0.6015125180410583,1.4e-12,-0.01453045822854018,-0.15010662095967653,0.002181117985681894,0.00653427886258863,289,1.3796098469431625e-06,289
6.450562483237351e-30,0.629960524947439,1.4e-12,-0.10763169369486898,0.14465920653450498,-0.01556991540786463,0.0060686225251866815,289,7.030245216066837e-05,289
6.755636177581676e-30,0.6597539553864469,1.4e-12,0.04408964905319486,-0.16054953934912417,-0.007078572845554984,0.007475084306191177,289,1.4530795105978366e-05,289
7.07513806469572e-30,0.6909564399838903,1.4e-12,0.056411102384612805,0.12125009791299474,0.006839851687514274,0.004263459712140496,289,1.3567234670897238e-05,289
7.409750513300298e-30,0.7236346187201883,1.4e-12,0.036216528967455065,0.07119581142304972,0.0025784651667643483,0.001469964530664335,289,1.928059823670276e-06,289
7.760188164146554e-30,0.7578582832552012,1.4e-12,0.07871792129335071,-0.12372783446256012,-0.009739597935020534,0.004439487025108653,289,2.7509330774767894e-05,289
8.12719945629284e-30,0.7937005259840986,1.4e-12,0.04637278754250014,-0.16055387732772758,-0.007445330842443342,0.007475488258690684,289,1.6075554766637123e-05,289
8.511568225566517e-30,0.8312378961427896,1.4e-12,0.032894461613140864,-0.15203637117397956,-0.005001154575383707,0.006703366396854318,289,7.253348147203556e-06,289
8.914115378622565e-30,0.8705505632961225,1.4e-12,0.022220219851162112,-0.16138817967341462,-0.0035860808337221254,0.007553381387101494,289,3.7293927051468848e-06,289
9.335700646176413e-30,0.9117224885582184,1.4e-12,0.03165093777503127,-0.09329167448403398,-0.002952768984022632,0.002523967416362755,289,2.528464778089396e-06,289
9.777224419153242e-30,0.9548416039104142,1.4e-12,0.06828447887048715,0.13352326505561793,0.009117566571408798,0.00517025370812128,289,2.4107704164984926e-05,289
1.0239629671677545e-29,1.0000000000000013,1.4e-12,0.7339410820194093,-0.015509480048996336,-0.011383044568718814,6.975774681764205e-05,289,3.7576371427816374e-05,289
1.0723903975007639e-29,1.047294122820632,1.4e-12,-0.32393691261729507,-0.013344226339455497,0.004322687481669603,5.163982559697688e-05,289,5.418831469102391e-06,289
1.1231081606718207e-29,1.0968249796946268,1.4e-12,0.18526319896576207,-0.07338207022304885,-0.013594997076252223,0.0015616290773944248,289,5.3598940442128954e-05,289
1.1762245759634865e-29,1.1486983549970402,1.4e-12,0.018141797291946954,0.15736472507258661,0.002854878943169829,0.007181459939222206,289,2.3635966307090686e-06,289
1.2318530855237379e-29,1.2030250360821169,1.4e-12,0.009046318779078123,0.11398138113892527,0.0010311119086623207,0.0037676087575712583,289,3.0832559117997905e-07,289
1.2901124966474704e-29,1.2599210498948783,1.4e-12,0.20251596487150247,0.09332736054213744,0.018900280469101555,0.0025258987285683696,289,0.0001035939672698456,289
1.3511272355163353e-29,1.3195079107728938,1.4e-12,-0.007610514865685677,0.15675872151085365,-0.0011930145803842327,0.007126255564126989,289,4.1275226990539454e-07,289
1.4150276129391442e-29,1.381912879967781,1.4e-12,-0.3383828493802309,0.026996343079311123,-0.009135099494023574,0.00021135272169800335,289,2.4200510707160358e-05,289
1.4819501026600599e-29,1.4472692374403768,1.4e-12,-0.09454226227784712,-0.10405954411009484,0.009838024711769788,0.003140232508988392,289,2.806814980075637e-05,289
1.552037632829311e-29,1.5157165665104027,1.4e-12,0.14407397677937864,0.03473993092894392,0.005005120001973884,0.0003499901877631138,289,7.264855099108184e-06,289
1.625439891258568e-29,1.5874010519681971,1.4e-12,0.05073671735132139,0.15662255669196487,0.007946514389721533,0.007113880828546669,289,1.831265509181849e-05,289
1.7023136451133036e-29,1.6624757922855797,1.4e-12,-0.021218819619818287,0.12074756943900904,-0.002562120895457816,0.004228192606250521,289,1.9036942767268253e-06,289
1.7828230757245133e-29,1.7411011265922451,1.4e-12,0.08845962576902086,0.16123838956471906,0.014263087600494646,0.00753936677010948,289,5.8996339558981785e-05,289
1.8671401292352829e-29,1.8234449771164372,1.4e-12,-0.06932683227100413,-0.04641461275427866,0.003217778073339486,0.0006247516766127861,289,3.0026875511918702e-06,289
1.9554448838306488e-29,1.9096832078208286,1.4e-12,-0.10109765011191961,0.05271012423617078,-0.005328869697384208,0.0008057235306985716,289,8.23508657624429e-06,289
2.0479259343355093e-29,2.0000000000000027,1.4e-12,0.10082369440225812,-0.15979318183757663,-0.01611093893315629,0.007404819160314882,289,7.527307718749896e-05,289
5.119814835838772e-30,0.5000000000000006,4e-12,0.048235464094754786,0.30404300897143227,0.01466565564250273,0.026808222000748807,289,6.237361770472786e-05,289
5.361951987503819e-30,0.523647061410316,4e-12,0.03572312163724762,-0.3181397886968226,-0.011364946369264849,0.02935174623843213,289,3.745697910979802e-05,289
5.615540803359103e-30,0.5484124898473133,4e-12,-0.1349722893604781,-0.23316108049463716,0.03147028482412389,0.015765584838502725,289,0.00028720983968943796,289
5.881122879817432e-30,0.5743491774985201,4e-12,0.14470920744700225,0.45730281744879364,0.06617592827629608,0.06064649713810609,289,0.0012699834211925946,289
6.159265427618688e-30,0.6015125180410583,4e-12,-0.01453045822854018,-0.4288760598847901,0.00623176567337684,0.053341051939499035,289,1.126212119953602e-05,289
6.450562483237351e-30,0.629960524947439,4e-12,-0.10763169369486898,0.4133120186700142,-0.04448547259389894,0.04953977571580963,289,0.0005738975686585174,289
6.755636177581676e-30,0.6597539553864469,4e-12,0.04408964905319486,-0.45871296956892615,-0.020224493844442807,0.06102109637707082,289,0.00011861873555900705,289
7.07513806469572e-30,0.6909564399838903,4e-12,0.056411102384612805,0.34642885117998495,0.019542433392897924,0.034803752752167315,289,0.00011075293608895703,289
7.409750513300298e-30,0.7236346187201883,4e-12,0.036216528967455065,0.20341660406585632,0.0073670433336124235,0.011999710454402731,289,1.5739263866696132e-05,289
7.760188164146554e-30,0.7578582832552012,4e-12,0.07871792129335071,-0.3535080984644574,-0.027827422671487235,0.03624071040905022,289,0.0002245659655083092,289
8.12719945629284e-30,0.7937005259840986,4e-12,0.04637278754250014,-0.4587253637935073,-0.0212723738355524,0.06102439394849537,289,0.00013122901850316012,289
8.511568225566517e-30,0.8312378961427896,4e-12,0.032894461613140864,-0.4343896319256558,-0.014289013072524875,0.054721358341667886,289,5.921100528329432e-05,289
8.914115378622565e-30,0.8705505632961225,4e-12,0.022220219851162112,-0.46110908478118456,-0.010245945239206071,0.061660256221236664,289,3.0444022082831696e-05,289
9.335700646176413e-30,0.9117224885582184,4e-12,0.03165093777503127,-0.2665476413829542,-0.008436482811493234,0.020603815643777588,289,2.0640528800729756e-05,289
9.777224419153242e-30,0.9548416039104142,4e-12,0.06828447887048715,0.3814950430160512,0.026050190204025134,0.04220615271935738,289,0.00019679758502028506,289
1.0239629671677545e-29,1.0000000000000013,4e-12,0.7339410820194093,-0.04431280013998953,-0.03252298448205375,0.000569450994429731,289,0.0003067458892066642,289
1.0723903975007639e-29,1.047294122820632,4e-12,-0.32393691261729507,-0.03812636096987284,0.012350535661913149,0.0004215495967100151,289,4.423535893144807e-05,289
1.1231081606718207e-29,1.0968249796946268,4e-12,0.18526319896576207,-0.20966305778013958,-0.03884284878929207,0.01274799246852592,289,0.00043754237095615487,289
1.1762245759634865e-29,1.1486983549970402,4e-12,0.018141797291946954,0.44961350020739027,0.008156796980485223,0.058624162769160854,289,1.929466637313524e-05,289
1.2318530855237379e-29,1.2030250360821169,4e-12,0.009046318779078123,0.3256610889683579,0.002946034024749487,0.030755989857724552,289,2.516943601469215e-06,289
1.2901124966474704e-29,1.2599210498948783,4e-12,0.20251596487150247,0.2666496015489641,0.05400080134029016,0.020619581457700972,289,0.0008456650389375152,289
1.3511272355163353e-29,1.3195079107728938,4e-12,-0.007610514865685677,0.44788206145958176,-0.0034086130868120927,0.058173514809199876,289,3.369406284941994e-06,289
1.4150276129391442e-29,1.381912879967781,4e-12,-0.3383828493802309,0.07713240879803178,-0.026100284268638783,0.0017253283403918641,289,0.00019755518944620701,289
1.4819501026600599e-29,1.4472692374403768,4e-12,-0.09454226227784712,-0.2973129831716995,0.028108642033627965,0.025634551093782786,289,0.00022912775347556222,289
1.552037632829311e-29,1.5157165665104027,4e-12,0.14407397677937864,0.09925694551126832,0.014300342862782521,0.0028570627572499074,289,5.9304939584556575e-05,289
1.625439891258568e-29,1.5874010519681971,4e-12,0.05073671735132139,0.44749301911989964,0.022704326827775807,0.058072496559564646,289,0.00014949106197402844,289
1.7023136451133036e-29,1.6624757922855797,4e-12,-0.021218819619818287,0.3449930555400258,-0.007320345415593759,0.034515858010208324,289,1.5540361442667954e-05,289
1.7828230757245133e-29,1.7411011265922451,4e-12,0.08845962576902086,0.4606811130420544,0.04075167885855613,0.06154585118456718,289,0.00048160277191005527,289
1.8671401292352829e-29,1.8234449771164372,4e-12,-0.06932683227100413,-0.13261317929793903,0.009193651638112815,0.00510001368663499,289,2.4511735111770348e-05,289
1.9554448838306488e-29,1.9096832078208286,4e-12,-0.10109765011191961,0.15060035496048793,-0.015225341992526308,0.0065773349444781335,289,6.72251965407697e-05,289
2.0479259343355093e-29,2.0000000000000027,4e-12,0.10082369440225812,-0.45655194810736177,-0.046031254094732243,0.06044750334950924,289,0.0006144740994897869,289
